Date,Origin_Prefecture,Destination_Prefecture,Vehicle_Type,Cargo_Weight_Tons,Status
2024-01-05,宮城県,北海道,Light_Van,9.0,Delayed
2023-01-08,大阪府,北海道,Medium_Truck,8.1,Delayed
2023-02-17,広島県,福岡県,Refrigerated,22.5,On_Time
2023-07-26,宮城県,福岡県,Refrigerated,15.4,On_Time
2023-07-10,北海道,愛知県,Medium_Truck,4.2,Completed
2023-11-17,福岡県,愛知県,Large_Truck,8.3,Completed
2024-02-04,東京都,愛知県,Large_Truck,5.4,Completed
2023-12-03,愛知県,福岡県,Large_Truck,30.2,Delayed
2023-08-28,愛知県,宮城県,Refrigerated,19.9,Completed
2023-02-08,愛知県,大阪府,Light_Van,20.3,On_Time
2023-01-24,大阪府,東京都,Medium_Truck,20.2,On_Time
2023-03-18,広島県,東京都,Large_Truck,22.5,On_Time
2023-05-03,愛知県,北海道,Large_Truck,10.3,Delayed
2023-02-20,宮城県,北海道,Large_Truck,16.2,On_Time
2023-08-04,広島県,東京都,Medium_Truck,10.6,On_Time
2023-06-19,北海道,宮城県,Medium_Truck,9.2,Completed
2023-10-17,大阪府,広島県,Large_Truck,4.6,Completed
2023-04-03,北海道,愛知県,Refrigerated,1.8,On_Time
2023-12-12,広島県,東京都,Medium_Truck,20.5,On_Time
2023-11-09,福岡県,大阪府,Refrigerated,2.7,Completed
2023-10-30,宮城県,広島県,Light_Van,17.4,On_Time
2023-02-17,愛知県,大阪府,Large_Truck,14.6,Completed
2023-07-29,大阪府,愛知県,Refrigerated,13.2,Completed
2023-06-11,大阪府,北海道,Large_Truck,16.4,On_Time
2023-05-04,東京都,北海道,Light_Van,3.6,Delayed
2023-09-04,東京都,広島県,Large_Truck,10.7,On_Time
2023-02-19,福岡県,愛知県,Medium_Truck,18.3,Completed
2023-09-18,広島県,宮城県,Light_Van,5.6,Delayed
2023-10-12,広島県,大阪府,Medium_Truck,3.0,On_Time
2023-06-09,北海道,福岡県,Large_Truck,17.0,Completed
2024-01-16,宮城県,広島県,Light_Van,12.5,On_Time
2023-08-07,北海道,大阪府,Medium_Truck,19.2,On_Time
2023-09-05,広島県,東京都,Large_Truck,1.5,On_Time
2023-01-29,福岡県,北海道,Large_Truck,20.3,Delayed
2023-11-05,福岡県,北海道,Refrigerated,24.6,Completed
2023-06-23,大阪府,宮城県,Large_Truck,17.7,Completed
2023-07-02,福岡県,大阪府,Refrigerated,4.0,On_Time
2023-03-17,宮城県,東京都,Medium_Truck,32.2,On_Time
2023-04-04,福岡県,大阪府,Large_Truck,20.4,On_Time
2023-01-22,宮城県,福岡県,Medium_Truck,5.5,Completed
2023-07-01,愛知県,福岡県,Light_Van,9.3,Completed
2023-12-03,福岡県,愛知県,Refrigerated,13.7,Completed
2023-11-12,福岡県,北海道,Light_Van,21.3,Completed
2023-02-07,愛知県,大阪府,Medium_Truck,2.0,Delayed
2023-12-18,大阪府,広島県,Refrigerated,34.6,On_Time
2023-03-22,広島県,東京都,Large_Truck,5.4,On_Time
2023-02-18,大阪府,福岡県,Medium_Truck,9.3,Delayed
2023-09-03,愛知県,北海道,Medium_Truck,4.2,Completed
2023-10-18,東京都,大阪府,Medium_Truck,21.4,Completed
2023-08-21,東京都,大阪府,Medium_Truck,10.4,On_Time
2023-03-24,福岡県,北海道,Medium_Truck,32.6,Delayed
2023-01-22,福岡県,広島県,Large_Truck,23.1,Completed
2023-02-26,愛知県,宮城県,Large_Truck,23.4,On_Time
2023-03-12,北海道,愛知県,Large_Truck,27.6,Completed
2023-11-26,広島県,北海道,Light_Van,21.4,On_Time
2023-02-06,宮城県,北海道,Refrigerated,13.7,On_Time
2023-12-27,宮城県,大阪府,Large_Truck,21.9,Completed
2023-03-24,東京都,大阪府,Light_Van,18.2,Delayed
2023-07-19,福岡県,宮城県,Refrigerated,2.3,On_Time
2023-09-15,北海道,広島県,Refrigerated,4.9,On_Time
2023-09-25,宮城県,広島県,Medium_Truck,6.8,Delayed
2023-12-26,愛知県,広島県,Medium_Truck,19.5,On_Time
2023-04-01,大阪府,広島県,Light_Van,15.7,Delayed
2023-03-14,愛知県,広島県,Medium_Truck,34.4,On_Time
2024-01-10,大阪府,宮城県,Large_Truck,18.4,On_Time
2023-12-11,広島県,愛知県,Refrigerated,35.4,On_Time
2023-05-11,広島県,北海道,Light_Van,14.6,Delayed
2023-12-15,東京都,宮城県,Large_Truck,8.3,On_Time
2024-01-06,広島県,福岡県,Refrigerated,14.0,Completed
2023-03-18,広島県,福岡県,Medium_Truck,20.2,On_Time
2023-04-13,愛知県,福岡県,Large_Truck,1.5,Completed
2023-02-14,大阪府,愛知県,Refrigerated,22.1,Delayed
2023-02-19,愛知県,北海道,Medium_Truck,22.0,Completed
2023-07-31,大阪府,愛知県,Light_Van,16.1,Completed
2023-05-08,愛知県,大阪府,Large_Truck,23.9,Delayed
2023-07-18,福岡県,愛知県,Refrigerated,16.5,Delayed
2023-07-10,大阪府,東京都,Medium_Truck,24.1,On_Time
2023-05-22,福岡県,広島県,Medium_Truck,21.7,Delayed
2023-08-13,大阪府,広島県,Refrigerated,22.4,On_Time
2023-09-09,宮城県,大阪府,Refrigerated,18.6,On_Time
2023-12-19,愛知県,東京都,Medium_Truck,16.2,Completed
2023-03-25,宮城県,北海道,Light_Van,27.5,Delayed
2023-06-20,福岡県,広島県,Medium_Truck,17.9,Delayed
2023-09-16,福岡県,東京都,Medium_Truck,1.8,On_Time
2023-11-06,東京都,愛知県,Medium_Truck,8.6,Completed
2024-01-14,北海道,大阪府,Medium_Truck,10.7,Delayed
2023-11-04,福岡県,北海道,Refrigerated,6.6,On_Time
2023-10-14,宮城県,北海道,Medium_Truck,17.9,Completed
2024-01-02,愛知県,福岡県,Medium_Truck,3.9,Delayed
2023-09-26,大阪府,広島県,Medium_Truck,2.1,Delayed
2023-07-04,大阪府,愛知県,Refrigerated,4.8,Delayed
2023-04-30,広島県,宮城県,Medium_Truck,14.6,On_Time
2023-02-17,福岡県,東京都,Light_Van,15.7,Delayed
2023-10-08,宮城県,愛知県,Medium_Truck,12.1,Delayed
2023-05-13,愛知県,東京都,Large_Truck,15.5,Completed
2023-01-10,宮城県,東京都,Medium_Truck,23.0,Delayed
2023-01-31,宮城県,福岡県,Medium_Truck,13.5,Completed
2023-03-25,福岡県,広島県,Refrigerated,7.6,On_Time
2023-07-31,東京都,福岡県,Large_Truck,20.1,On_Time
2024-01-22,北海道,福岡県,Medium_Truck,15.8,On_Time
2023-09-29,北海道,広島県,Large_Truck,14.0,Delayed
2023-05-18,北海道,大阪府,Medium_Truck,6.7,Delayed
2023-07-30,宮城県,愛知県,Light_Van,16.4,On_Time
2023-11-21,愛知県,東京都,Medium_Truck,24.1,On_Time
2023-06-30,広島県,北海道,Large_Truck,13.6,Delayed
2023-05-13,北海道,大阪府,Light_Van,7.5,On_Time
2023-04-14,宮城県,愛知県,Light_Van,16.6,Completed
2023-05-30,北海道,東京都,Light_Van,2.4,Delayed
2023-01-12,福岡県,北海道,Light_Van,12.8,Delayed
2023-09-30,大阪府,愛知県,Refrigerated,16.9,On_Time
2023-04-18,福岡県,宮城県,Large_Truck,17.9,Completed
2023-11-02,愛知県,東京都,Medium_Truck,7.2,Completed
2024-01-20,福岡県,愛知県,Large_Truck,23.4,Completed
2023-08-24,東京都,広島県,Large_Truck,4.1,On_Time
2023-09-06,大阪府,愛知県,Medium_Truck,11.2,Delayed
2023-09-26,広島県,宮城県,Large_Truck,11.0,Completed
2023-08-17,北海道,東京都,Light_Van,19.2,On_Time
2023-04-16,東京都,福岡県,Refrigerated,13.9,On_Time
2024-01-25,福岡県,愛知県,Large_Truck,22.0,Delayed
2023-07-13,東京都,宮城県,Refrigerated,23.6,Delayed
2023-11-04,広島県,愛知県,Medium_Truck,19.1,On_Time
2023-04-20,宮城県,広島県,Light_Van,21.0,Delayed
2023-06-22,宮城県,愛知県,Light_Van,18.7,Delayed
2023-12-19,大阪府,北海道,Medium_Truck,36.2,Delayed
2023-11-13,大阪府,東京都,Refrigerated,2.6,Delayed
2023-03-02,大阪府,広島県,Medium_Truck,32.6,Delayed
2023-06-30,福岡県,広島県,Refrigerated,23.2,On_Time
2023-08-13,愛知県,大阪府,Large_Truck,5.6,Delayed
2023-12-14,東京都,北海道,Large_Truck,35.9,Completed
2023-12-23,東京都,福岡県,Refrigerated,4.8,Completed
2024-01-18,宮城県,広島県,Refrigerated,17.4,Delayed
2023-01-21,大阪府,福岡県,Light_Van,11.8,Completed
2023-03-02,広島県,愛知県,Large_Truck,34.9,On_Time
2023-03-21,宮城県,東京都,Light_Van,5.2,On_Time
2023-06-05,北海道,福岡県,Refrigerated,5.8,Delayed
2024-01-27,北海道,大阪府,Large_Truck,24.6,Delayed
2023-09-19,大阪府,北海道,Large_Truck,17.4,Delayed
2023-09-09,北海道,広島県,Refrigerated,11.0,Completed
2023-03-27,広島県,東京都,Medium_Truck,5.8,Completed
2023-04-20,東京都,愛知県,Light_Van,6.0,Completed
2023-01-21,北海道,広島県,Refrigerated,9.8,Completed
2023-07-29,福岡県,東京都,Medium_Truck,23.5,Completed
2023-02-23,愛知県,宮城県,Large_Truck,15.8,Delayed
2023-04-20,福岡県,東京都,Medium_Truck,17.0,Completed
2023-08-23,大阪府,宮城県,Large_Truck,3.4,Delayed
2023-03-24,広島県,東京都,Refrigerated,10.5,Completed
2023-04-22,宮城県,広島県,Medium_Truck,7.6,On_Time
2023-06-16,広島県,福岡県,Large_Truck,6.8,Delayed
2023-09-28,大阪府,愛知県,Large_Truck,4.4,On_Time
2023-03-02,大阪府,北海道,Light_Van,32.4,Completed
2023-08-06,北海道,福岡県,Medium_Truck,14.2,Delayed
2024-01-08,東京都,福岡県,Medium_Truck,5.7,Completed
2023-12-28,北海道,宮城県,Large_Truck,3.2,Completed
2024-01-31,東京都,宮城県,Refrigerated,8.2,Completed
2023-05-22,東京都,広島県,Medium_Truck,12.0,On_Time
2023-09-07,宮城県,愛知県,Medium_Truck,22.1,On_Time
2023-03-21,東京都,大阪府,Light_Van,14.4,On_Time
2023-08-31,宮城県,東京都,Large_Truck,3.1,Completed
2023-12-27,大阪府,広島県,Refrigerated,14.0,Completed
2023-10-14,北海道,宮城県,Large_Truck,16.8,Completed
2023-03-17,東京都,福岡県,Medium_Truck,14.0,On_Time
2023-04-28,広島県,宮城県,Large_Truck,1.5,On_Time
2023-06-22,広島県,大阪府,Large_Truck,23.6,On_Time
2023-12-06,大阪府,宮城県,Large_Truck,4.5,Completed
2023-12-27,広島県,東京都,Light_Van,9.9,Delayed
2023-04-20,宮城県,大阪府,Refrigerated,6.8,On_Time
2023-12-15,北海道,広島県,Light_Van,35.6,On_Time
2023-10-18,広島県,福岡県,Large_Truck,11.5,Completed
2023-11-18,広島県,東京都,Light_Van,18.2,Delayed
2023-10-23,愛知県,宮城県,Light_Van,5.6,Delayed
2023-09-02,宮城県,愛知県,Medium_Truck,14.0,On_Time
2023-07-06,東京都,大阪府,Refrigerated,2.1,Completed
2023-02-23,広島県,北海道,Refrigerated,24.1,On_Time
2023-05-12,宮城県,北海道,Light_Van,1.6,Delayed
2023-11-09,北海道,広島県,Light_Van,9.1,Completed
2024-01-04,大阪府,東京都,Refrigerated,9.6,On_Time
2023-02-01,広島県,大阪府,Large_Truck,14.9,On_Time
2023-11-01,宮城県,福岡県,Large_Truck,24.6,Delayed
2023-09-23,北海道,東京都,Light_Van,1.2,Completed
2023-07-01,大阪府,愛知県,Medium_Truck,22.6,On_Time
2023-01-07,北海道,大阪府,Refrigerated,19.6,On_Time
2023-12-28,広島県,愛知県,Large_Truck,14.9,On_Time
2024-01-26,広島県,福岡県,Refrigerated,8.7,Completed
2023-02-08,北海道,大阪府,Medium_Truck,5.4,Completed
2023-03-23,東京都,大阪府,Medium_Truck,27.5,On_Time
2023-01-16,愛知県,宮城県,Medium_Truck,7.6,On_Time
2023-01-01,愛知県,北海道,Refrigerated,10.6,On_Time
2023-11-18,愛知県,北海道,Large_Truck,12.0,Completed
2023-10-01,広島県,大阪府,Medium_Truck,21.1,Delayed
2023-02-03,広島県,福岡県,Large_Truck,22.0,Completed
2023-02-28,広島県,大阪府,Refrigerated,11.3,Delayed
2023-03-25,宮城県,福岡県,Light_Van,27.2,On_Time
2023-02-13,大阪府,広島県,Medium_Truck,15.8,On_Time
2024-02-02,東京都,福岡県,Large_Truck,21.2,Completed
2023-01-05,愛知県,大阪府,Medium_Truck,12.0,Delayed
2023-01-24,東京都,大阪府,Medium_Truck,5.9,Completed
2023-01-20,愛知県,大阪府,Large_Truck,14.3,Delayed
2023-06-20,東京都,宮城県,Light_Van,20.5,Completed
2023-09-23,福岡県,大阪府,Large_Truck,14.3,On_Time
2023-02-15,宮城県,北海道,Refrigerated,10.8,Delayed
2024-01-30,東京都,宮城県,Large_Truck,4.1,On_Time
2023-05-12,愛知県,北海道,Refrigerated,21.1,Delayed
2023-04-29,広島県,東京都,Large_Truck,18.2,On_Time
2023-11-02,北海道,広島県,Refrigerated,21.7,On_Time
2023-03-05,大阪府,福岡県,Refrigerated,17.6,Completed
2023-12-13,大阪府,宮城県,Light_Van,33.1,Delayed
2023-08-30,福岡県,北海道,Large_Truck,4.9,On_Time
2023-10-29,愛知県,宮城県,Refrigerated,23.9,On_Time
2023-01-06,北海道,大阪府,Refrigerated,8.3,Completed
2024-01-09,福岡県,大阪府,Medium_Truck,2.6,Completed
2023-02-22,広島県,福岡県,Large_Truck,7.5,Delayed
2023-10-26,福岡県,東京都,Large_Truck,5.0,Delayed
2023-12-24,福岡県,愛知県,Light_Van,13.4,Delayed
2023-04-22,愛知県,宮城県,Light_Van,15.0,Delayed
2023-02-12,福岡県,東京都,Refrigerated,3.3,On_Time
2023-05-12,北海道,東京都,Large_Truck,23.1,Completed
2023-02-24,広島県,東京都,Light_Van,5.9,Completed
2023-05-28,東京都,大阪府,Medium_Truck,12.7,Delayed
2023-12-09,宮城県,北海道,Medium_Truck,22.4,Delayed
2023-01-15,福岡県,北海道,Light_Van,23.4,On_Time
2023-06-12,大阪府,宮城県,Medium_Truck,24.5,Completed
2023-10-30,福岡県,北海道,Medium_Truck,18.5,Delayed
2023-03-02,大阪府,東京都,Refrigerated,10.8,On_Time
2023-12-07,広島県,大阪府,Medium_Truck,8.3,Completed
2023-07-04,広島県,北海道,Refrigerated,18.5,Delayed
2024-01-29,福岡県,北海道,Medium_Truck,13.0,On_Time
2023-12-11,大阪府,広島県,Refrigerated,1.6,Delayed
2023-04-14,大阪府,広島県,Light_Van,18.6,On_Time
2023-10-18,広島県,大阪府,Refrigerated,17.2,Delayed
2023-11-22,東京都,福岡県,Light_Van,6.0,Delayed
2023-11-30,東京都,広島県,Refrigerated,11.0,On_Time
2023-12-19,広島県,北海道,Light_Van,34.5,Completed
2023-05-07,東京都,宮城県,Light_Van,24.1,Delayed
2023-03-25,宮城県,福岡県,Large_Truck,32.6,Delayed
2023-04-29,東京都,福岡県,Light_Van,9.5,On_Time
2023-01-24,愛知県,広島県,Light_Van,13.3,On_Time
2023-05-14,東京都,大阪府,Refrigerated,19.2,On_Time
2023-02-15,宮城県,福岡県,Light_Van,15.7,On_Time
2023-02-27,宮城県,北海道,Refrigerated,16.3,Delayed
2023-06-20,北海道,愛知県,Refrigerated,4.4,Delayed
2023-02-10,東京都,愛知県,Large_Truck,21.4,Delayed
2023-01-04,広島県,愛知県,Medium_Truck,14.1,Delayed
2023-01-03,北海道,広島県,Medium_Truck,17.3,On_Time
2023-01-28,福岡県,広島県,Medium_Truck,11.0,On_Time
2023-11-16,愛知県,北海道,Large_Truck,19.7,Delayed
2023-07-11,北海道,東京都,Refrigerated,22.3,Completed
2023-05-20,北海道,大阪府,Large_Truck,12.0,On_Time
2023-07-08,愛知県,広島県,Medium_Truck,9.6,Completed
2023-12-11,東京都,愛知県,Large_Truck,8.8,Completed
2023-06-24,福岡県,北海道,Medium_Truck,4.0,On_Time
2023-11-06,東京都,宮城県,Light_Van,12.3,On_Time
2023-12-25,大阪府,福岡県,Large_Truck,1.6,On_Time
2023-10-08,東京都,大阪府,Light_Van,2.0,On_Time
2023-11-10,広島県,東京都,Large_Truck,22.4,Completed
2023-06-12,広島県,宮城県,Light_Van,16.8,Completed
2023-02-12,宮城県,愛知県,Large_Truck,21.8,Delayed
2023-11-09,愛知県,広島県,Refrigerated,23.3,On_Time
2023-05-16,東京都,宮城県,Medium_Truck,20.0,Delayed
2023-03-09,北海道,愛知県,Refrigerated,29.3,Completed
2023-08-21,大阪府,福岡県,Light_Van,15.1,Delayed
2023-11-27,大阪府,愛知県,Medium_Truck,11.6,Completed
2023-06-09,東京都,宮城県,Refrigerated,18.3,Completed
2023-09-18,東京都,福岡県,Refrigerated,12.0,Completed
2024-01-19,広島県,福岡県,Large_Truck,6.1,Delayed
2023-03-11,福岡県,愛知県,Medium_Truck,13.1,Completed
2023-12-10,福岡県,愛知県,Light_Van,17.0,On_Time
2023-07-07,宮城県,福岡県,Refrigerated,8.2,Delayed
2023-07-01,東京都,愛知県,Light_Van,7.9,Delayed
2023-11-20,大阪府,東京都,Medium_Truck,10.6,Completed
2023-05-25,福岡県,大阪府,Light_Van,6.4,Completed
2023-09-08,愛知県,広島県,Medium_Truck,12.6,On_Time
2023-03-07,東京都,福岡県,Large_Truck,37.0,On_Time
2023-07-02,宮城県,広島県,Large_Truck,24.8,Delayed
2023-05-21,北海道,東京都,Light_Van,6.0,Completed
2023-02-28,宮城県,東京都,Light_Van,22.5,Completed
2023-07-14,東京都,宮城県,Large_Truck,9.6,On_Time
2023-12-29,北海道,愛知県,Refrigerated,6.8,Completed
2023-06-19,北海道,東京都,Refrigerated,14.8,Delayed
2023-12-17,北海道,福岡県,Medium_Truck,35.8,Completed
2023-12-10,宮城県,広島県,Light_Van,25.5,On_Time
2023-03-18,福岡県,愛知県,Medium_Truck,29.7,Delayed
2023-04-06,広島県,宮城県,Refrigerated,19.0,Delayed
2023-06-29,北海道,東京都,Large_Truck,11.8,Completed
2024-01-09,大阪府,広島県,Light_Van,15.7,Delayed
2023-02-14,東京都,大阪府,Medium_Truck,5.3,On_Time
2023-09-21,広島県,東京都,Large_Truck,5.5,On_Time
2023-02-14,愛知県,東京都,Medium_Truck,24.4,Delayed
2023-07-31,宮城県,大阪府,Large_Truck,22.1,Completed
2023-01-23,大阪府,北海道,Refrigerated,14.4,Completed
2023-11-16,福岡県,愛知県,Light_Van,9.4,Completed
2023-11-08,愛知県,福岡県,Refrigerated,21.4,Delayed
2023-03-25,福岡県,北海道,Large_Truck,8.1,On_Time
2023-08-29,広島県,福岡県,Refrigerated,6.0,Delayed
2023-06-01,宮城県,愛知県,Large_Truck,1.4,On_Time
2024-01-24,大阪府,北海道,Light_Van,22.6,Delayed
2023-09-22,東京都,宮城県,Medium_Truck,11.1,Delayed
2023-04-23,福岡県,北海道,Refrigerated,12.5,Completed
2023-04-25,宮城県,北海道,Light_Van,22.7,On_Time
2023-01-23,北海道,宮城県,Refrigerated,19.7,Completed
2023-10-02,福岡県,大阪府,Medium_Truck,23.5,On_Time
2023-10-19,福岡県,広島県,Medium_Truck,4.3,On_Time
2023-02-23,愛知県,広島県,Refrigerated,18.8,Completed
2024-01-16,広島県,宮城県,Large_Truck,18.9,Completed
2023-01-14,北海道,愛知県,Medium_Truck,15.7,On_Time
2023-06-09,広島県,東京都,Refrigerated,7.1,On_Time
2023-06-04,東京都,大阪府,Refrigerated,20.4,Completed
2023-05-20,大阪府,愛知県,Medium_Truck,18.9,Delayed
2023-06-26,愛知県,大阪府,Medium_Truck,19.6,On_Time
2023-04-23,大阪府,宮城県,Large_Truck,17.5,Completed
2023-04-06,愛知県,福岡県,Large_Truck,15.0,Completed
2023-11-12,広島県,宮城県,Medium_Truck,2.1,On_Time
2023-07-31,愛知県,北海道,Medium_Truck,17.0,On_Time
2023-08-30,大阪府,北海道,Refrigerated,11.2,Delayed
2023-12-31,愛知県,広島県,Large_Truck,25.2,Delayed
2023-04-09,東京都,北海道,Light_Van,4.0,On_Time
2023-08-22,宮城県,北海道,Medium_Truck,14.5,Completed
2024-01-22,北海道,宮城県,Large_Truck,12.2,On_Time
2023-04-01,広島県,宮城県,Refrigerated,17.7,Completed
2023-06-04,北海道,愛知県,Large_Truck,23.3,Completed
2023-12-13,東京都,大阪府,Large_Truck,20.6,Completed
2023-01-19,北海道,愛知県,Refrigerated,17.3,Delayed
2023-10-25,愛知県,広島県,Refrigerated,24.0,Delayed
2023-06-09,福岡県,東京都,Large_Truck,4.8,Completed
2023-03-03,福岡県,大阪府,Light_Van,5.2,Completed
2023-12-30,大阪府,北海道,Large_Truck,22.3,On_Time
2023-01-29,大阪府,東京都,Refrigerated,6.8,On_Time
2023-09-26,宮城県,東京都,Light_Van,15.6,Delayed
2024-01-25,東京都,愛知県,Medium_Truck,22.7,On_Time
2023-05-24,東京都,広島県,Refrigerated,5.5,Delayed
2023-09-09,宮城県,福岡県,Large_Truck,5.7,Completed
2023-07-03,大阪府,東京都,Light_Van,6.4,On_Time
2024-01-19,北海道,福岡県,Light_Van,11.8,On_Time
2023-04-25,福岡県,東京都,Large_Truck,8.4,Completed
2023-12-19,東京都,愛知県,Light_Van,3.7,Delayed
2023-08-09,大阪府,北海道,Light_Van,4.0,On_Time
2023-12-01,宮城県,東京都,Large_Truck,5.3,Completed
2023-05-17,北海道,福岡県,Refrigerated,19.2,Delayed
2023-04-04,北海道,大阪府,Medium_Truck,7.6,On_Time
2023-05-16,北海道,広島県,Large_Truck,2.5,Completed
2023-11-07,北海道,愛知県,Light_Van,12.5,Delayed
2023-04-08,北海道,宮城県,Light_Van,18.6,Delayed
2023-02-07,東京都,広島県,Medium_Truck,24.9,Completed
2023-10-27,北海道,東京都,Light_Van,9.0,On_Time
2023-11-28,大阪府,東京都,Large_Truck,12.3,On_Time
2023-10-07,愛知県,大阪府,Light_Van,5.5,On_Time
2023-09-05,宮城県,福岡県,Refrigerated,3.2,Delayed
2023-08-08,福岡県,愛知県,Medium_Truck,16.6,Delayed
2023-11-13,北海道,東京都,Light_Van,19.5,On_Time
2023-09-01,北海道,東京都,Light_Van,13.4,On_Time
2023-04-25,北海道,広島県,Medium_Truck,23.9,On_Time
2023-11-14,広島県,福岡県,Refrigerated,22.3,Delayed
2023-07-12,福岡県,大阪府,Refrigerated,14.9,Completed
2023-02-22,宮城県,東京都,Large_Truck,1.7,Completed
2023-09-18,福岡県,東京都,Refrigerated,10.1,On_Time
2024-01-08,広島県,大阪府,Medium_Truck,1.1,Delayed
2023-10-18,東京都,愛知県,Refrigerated,22.9,On_Time
2023-01-21,東京都,広島県,Medium_Truck,14.4,Completed
2023-11-07,北海道,福岡県,Large_Truck,19.7,Completed
2023-10-27,東京都,広島県,Refrigerated,18.2,Completed
2023-10-14,北海道,愛知県,Medium_Truck,20.4,Delayed
2023-08-05,東京都,大阪府,Large_Truck,8.8,On_Time
2024-01-02,大阪府,宮城県,Large_Truck,13.0,Delayed
2023-11-26,宮城県,東京都,Medium_Truck,11.4,On_Time
2023-07-03,福岡県,東京都,Medium_Truck,9.0,Completed
2023-11-01,大阪府,愛知県,Refrigerated,12.2,Completed
2023-10-29,北海道,福岡県,Large_Truck,13.3,Completed
2023-06-03,宮城県,大阪府,Large_Truck,16.2,Completed
2023-11-13,北海道,大阪府,Refrigerated,20.2,Delayed
2023-11-17,東京都,福岡県,Light_Van,2.3,Delayed
2023-06-06,宮城県,東京都,Refrigerated,3.6,Delayed
2023-07-09,東京都,宮城県,Light_Van,4.3,Completed
2023-11-19,宮城県,広島県,Refrigerated,9.5,On_Time
2024-01-07,広島県,北海道,Large_Truck,24.0,Delayed
2023-04-29,広島県,愛知県,Light_Van,9.2,Completed
2023-08-22,北海道,東京都,Light_Van,6.7,On_Time
2023-05-14,愛知県,福岡県,Large_Truck,12.4,Delayed
2023-11-06,愛知県,宮城県,Refrigerated,19.3,Completed
2023-12-26,広島県,宮城県,Light_Van,26.1,Completed
2023-04-01,愛知県,福岡県,Medium_Truck,15.6,Completed
2023-08-23,大阪府,東京都,Light_Van,12.5,Delayed
2023-10-07,東京都,広島県,Refrigerated,4.2,On_Time
2024-02-04,福岡県,東京都,Medium_Truck,13.4,Completed
2023-05-28,北海道,広島県,Large_Truck,16.4,Completed
2023-12-25,東京都,北海道,Refrigerated,9.8,On_Time
2023-10-07,福岡県,大阪府,Light_Van,5.9,Completed
2023-03-05,広島県,愛知県,Large_Truck,2.1,On_Time
2023-05-28,広島県,大阪府,Light_Van,7.1,Completed
2023-05-14,広島県,愛知県,Refrigerated,24.0,Delayed
2023-12-05,大阪府,東京都,Medium_Truck,19.4,Delayed
2023-02-21,愛知県,宮城県,Refrigerated,15.8,Completed
